#At time x process y state arr w total z remain y wait k
At time 2 process 1 started arr 1 total 4 remain 4 wait 1
At time 3 process 1 stopped arr 1 total 4 remain 3 wait 1
At time 4 process 2 started arr 1 total 4 remain 4 wait 3
At time 5 process 2 stopped arr 1 total 4 remain 3 wait 3
At time 6 process 3 started arr 1 total 4 remain 4 wait 5
At time 7 process 3 stopped arr 1 total 4 remain 3 wait 5
At time 8 process 4 started arr 1 total 4 remain 4 wait 7
At time 9 process 4 stopped arr 1 total 4 remain 3 wait 7
At time 10 process 5 started arr 1 total 4 remain 4 wait 9
At time 11 process 5 stopped arr 1 total 4 remain 3 wait 9
At time 12 process 6 started arr 1 total 4 remain 4 wait 11
At time 13 process 6 stopped arr 1 total 4 remain 3 wait 11
At time 14 process 7 started arr 1 total 4 remain 4 wait 13
At time 15 process 7 stopped arr 1 total 4 remain 3 wait 13
At time 16 process 8 started arr 1 total 4 remain 4 wait 15
At time 17 process 8 stopped arr 1 total 4 remain 3 wait 15
At time 18 process 9 started arr 1 total 4 remain 4 wait 17
At time 19 process 9 stopped arr 1 total 4 remain 3 wait 17
At time 20 process 10 started arr 1 total 4 remain 4 wait 19
At time 21 process 10 stopped arr 1 total 4 remain 3 wait 19
At time 22 process 11 started arr 1 total 4 remain 4 wait 21
At time 23 process 11 stopped arr 1 total 4 remain 3 wait 21
At time 24 process 12 started arr 1 total 4 remain 4 wait 23
At time 25 process 12 stopped arr 1 total 4 remain 3 wait 23
At time 26 process 13 started arr 1 total 4 remain 4 wait 25
At time 27 process 13 stopped arr 1 total 4 remain 3 wait 25
At time 28 process 14 started arr 1 total 4 remain 4 wait 27
At time 29 process 14 stopped arr 1 total 4 remain 3 wait 27
At time 30 process 15 started arr 1 total 4 remain 4 wait 29
At time 31 process 15 stopped arr 1 total 4 remain 3 wait 29
At time 32 process 16 started arr 1 total 4 remain 4 wait 31
At time 33 process 16 stopped arr 1 total 4 remain 3 wait 31
At time 34 process 1 resumed arr 1 total 4 remain 3 wait 32
At time 35 process 1 stopped arr 1 total 4 remain 2 wait 32
At time 36 process 2 resumed arr 1 total 4 remain 3 wait 34
At time 36 process 2 stopped arr 1 total 4 remain 3 wait 34
At time 37 process 3 resumed arr 1 total 4 remain 3 wait 35
At time 38 process 3 stopped arr 1 total 4 remain 2 wait 35
At time 39 process 4 resumed arr 1 total 4 remain 3 wait 37
At time 40 process 4 stopped arr 1 total 4 remain 2 wait 37
At time 41 process 5 resumed arr 1 total 4 remain 3 wait 39
At time 42 process 5 stopped arr 1 total 4 remain 2 wait 39
At time 43 process 6 resumed arr 1 total 4 remain 3 wait 41
At time 44 process 6 stopped arr 1 total 4 remain 2 wait 41
At time 45 process 7 resumed arr 1 total 4 remain 3 wait 43
At time 46 process 7 stopped arr 1 total 4 remain 2 wait 43
At time 47 process 8 resumed arr 1 total 4 remain 3 wait 45
At time 48 process 8 stopped arr 1 total 4 remain 2 wait 45
At time 49 process 9 resumed arr 1 total 4 remain 3 wait 47
At time 50 process 9 stopped arr 1 total 4 remain 2 wait 47
At time 51 process 10 resumed arr 1 total 4 remain 3 wait 49
At time 52 process 10 stopped arr 1 total 4 remain 2 wait 49
At time 53 process 11 resumed arr 1 total 4 remain 3 wait 51
At time 54 process 11 stopped arr 1 total 4 remain 2 wait 51
At time 55 process 12 resumed arr 1 total 4 remain 3 wait 53
At time 56 process 12 stopped arr 1 total 4 remain 2 wait 53
At time 57 process 13 resumed arr 1 total 4 remain 3 wait 55
At time 58 process 13 stopped arr 1 total 4 remain 2 wait 55
At time 59 process 14 resumed arr 1 total 4 remain 3 wait 57
At time 60 process 14 stopped arr 1 total 4 remain 2 wait 57
At time 61 process 15 resumed arr 1 total 4 remain 3 wait 59
At time 62 process 15 stopped arr 1 total 4 remain 2 wait 59
At time 63 process 16 resumed arr 1 total 4 remain 3 wait 61
At time 64 process 16 stopped arr 1 total 4 remain 2 wait 61
At time 65 process 1 resumed arr 1 total 4 remain 2 wait 62
At time 66 process 1 stopped arr 1 total 4 remain 1 wait 62
At time 67 process 3 resumed arr 1 total 4 remain 2 wait 64
At time 68 process 3 stopped arr 1 total 4 remain 1 wait 64
At time 69 process 4 resumed arr 1 total 4 remain 2 wait 66
At time 70 process 4 stopped arr 1 total 4 remain 1 wait 66
At time 71 process 5 resumed arr 1 total 4 remain 2 wait 68
At time 72 process 5 stopped arr 1 total 4 remain 1 wait 68
At time 73 process 6 resumed arr 1 total 4 remain 2 wait 70
At time 74 process 6 stopped arr 1 total 4 remain 1 wait 70
